Rank,Player,Team,Position,Goals,Assists,Minutes_Played
1,Kylian Mbappe,FRA,FW,10,4,769
2,Lionel Messi,ARG,FW,8,4,853
3,Jude Bellingham,ENG,MF,7,1,698
4,Erling Haaland,NOR,FW,7,0,537
5,Ousmane Dembele,FRA,FW,6,2,648
6,Harry Kane,ENG,FW,6,1,732
7,Mikel Oyarzabal,ESP,FW,5,1,664
8,Ismaila Sarr,SEN,FW,4,1,419
9,Julian Quinones,MEX,FW,4,1,440
10,Vinicius Junior,BRA,FW,4,1,505
11,Bukayo Saka,ENG,FW,3,3,411
12,Deniz Undav,GER,FW,3,2,174
13,Johan Manzambi,SUI,MF,3,2,220
14,Romelu Lukaku,BEL,FW,3,1,279
15,Lautaro Martinez,ARG,FW,3,1,368
16,Charles De Ketelaere,BEL,FW,3,1,385
17,Cody Gakpo,NED,FW,3,1,394
18,Bradley Barcola,FRA,FW,3,1,432
19,Brian Brobbey,NED,FW,3,0,245
20,Elijah Just,NZL,MF,3,0,291
21,Matheus Cunha,BRA,FW,3,0,324
22,Folarin Balogun,USA,FW,3,0,348
23,Raul Jimenez,MEX,FW,3,0,348
24,Kai Havertz,GER,FW,3,0,392
25,Yoane Wissa,COD,FW,3,0,409
26,Ismael Saibari,MAR,MF,3,0,411
27,Jonathan David,CAN,FW,3,0,475
28,Cristiano Ronaldo,POR,FW,3,0,490
29,Crysencio Summerville,NED,FW,2,2,282
30,Breel Embolo,SUI,FW,2,2,531
31,Leandro Trossard,BEL,FW,2,2,561
32,Soufiane Rahimi,MAR,FW,2,1,215
33,Nicolas Pepe,CIV,MF,2,1,255
34,Pape Gueye,SEN,MF,2,1,257
35,Maxi Araujo,URU,MF,2,1,278
36,Riyad Mahrez,ALG,FW,2,1,288
37,Ramin Rezaeian,IRN,DF,2,1,309
38,Ruben Vargas,SUI,FW,2,1,314
39,Ayase Ueda,JPN,FW,2,1,349
40,Mostafa Zico,EGY,MF,2,1,398
41,Malik Tillman,USA,MF,2,1,415
42,Ermin Mahmic,BIH,MF,2,0,88
43,Habib Diarra,SEN,MF,2,0,168
44,Marko Arnautovic,AUT,FW,2,0,173
45,Amad Diallo,CIV,FW,2,0,211
46,Cyle Larin,CAN,FW,2,0,224
47,Anthony Elanga,SWE,FW,2,0,247
48,Mikel Merino,ESP,MF,2,0,262
49,Daichi Kamada,JPN,MF,2,0,359
50,Yasin Ayari,SWE,MF,2,0,371
51,Emam Ashour,EGY,MF,2,0,395
52,Dan Ndoye,SUI,FW,2,0,437
53,Daniel Munoz,COL,DF,2,0,451
54,Azzedine Ounahi,MAR,MF,2,0,477
55,Youri Tielemans,BEL,MF,2,0,538
56,Pedro Porro,ESP,DF,2,0,640
57,Enzo Fernandez,ARG,MF,2,0,755
58,Andreas Schjelderup,NOR,MF,1,3,297
59,Alexander Isak,SWE,FW,1,3,389
60,Anthony Gordon,ENG,FW,1,3,442
61,Iliman Ndiaye,SEN,FW,1,2,134
62,Nathan Saliba,CAN,MF,1,2,206
63,Hans Vanaken,BEL,MF,1,2,362
64,Viktor Gyokeres,SWE,FW,1,2,400
65,Julio Enciso,PAR,FW,1,2,431
66,Mohamed Salah,EGY,FW,1,2,469
67,Declan Rice,ENG,MF,1,2,622
68,Achraf Hakimi,MAR,DF,1,2,650
69,Promise David,CAN,FW,1,1,105
70,Baris Alper Yilmaz,TUR,FW,1,1,200
71,Rafael Leao,POR,FW,1,1,203
72,Trezeguet,EGY,FW,1,1,204
73,Mousa Altamari,JOR,FW,1,1,230
74,Sebastian Berhalter,USA,MF,1,1,231
75,Marcus Rashford,ENG,FW,1,1,258
76,Luis Romo,MEX,MF,1,1,284
77,Hwang Inbeom,KOR,MF,1,1,286
78,Felix Nmecha,GER,MF,1,1,299
79,Kaishu Sano,JPN,MF,1,1,303
80,Nathaniel Brown,GER,DF,1,1,319
81,Keito Nakamura,JPN,MF,1,1,330
82,Petar Sucic,CRO,MF,1,1,338
83,Ferran Torres,ESP,FW,1,1,349
84,Ivan Perisic,CRO,FW,1,1,413
85,Virgil Van Dijk,NED,DF,1,1,432
86,Matias Galarza,PAR,MF,1,1,439
87,Alex Freeman,USA,DF,1,1,442
88,Desire Doue,FRA,FW,1,1,449
89,Alex Baena,ESP,MF,1,1,522
90,Luis Diaz,COL,FW,1,1,525
91,Lisandro Martinez,ARG,DF,1,1,708
92,Alexis Mac Allister,ARG,MF,1,1,869
93,Kaan Ayhan,TUR,MF,1,0,11
94,Mattias Svanberg,SWE,MF,1,0,25
95,Mahmoud Saber,EGY,MF,1,0,51
96,Nadhir Benbouali,ALG,FW,1,0,52
97,Neymar Jr,BRA,FW,1,0,55
98,Fiston Mayele,COD,FW,1,0,55
99,Goncalo Ramos,POR,FW,1,0,58
100,Giovani Lo Celso,ARG,MF,1,0,64
101,Hassan Alhaydos,QAT,FW,1,0,69
102,Jovo Lukic,BIH,FW,1,0,77
103,Mateo Chavez,MEX,DF,1,0,81
104,Sasa Kalajdzic,AUT,FW,1,0,88
105,Hazem Mastouri,TUN,FW,1,0,92
106,Jaminton Campaz,COL,FW,1,0,98
107,Thelo Aasgaard,NOR,MF,1,0,100
108,Gessime Yassine,MAR,MF,1,0,101
109,Alexis Saelemaekers,BEL,MF,1,0,107
110,Alvaro Fidalgo,MEX,MF,1,0,117
111,Petar Musa,CRO,FW,1,0,119
112,Auston Trusty,USA,DF,1,0,123
113,Aymen Hussein,IRQ,FW,1,0,128
114,Helio Varela,CPV,MF,1,0,130
115,Oh Hyeongyu,KOR,FW,1,0,145
116,Nico Schlotterbeck,GER,DF,1,0,152
117,Giovanni Reyna,USA,MF,1,0,155
118,Brian Cipenga,COD,FW,1,0,160
119,Ante Budimir,CRO,FW,1,0,168
120,Gabriel Martinelli,BRA,FW,1,0,171
121,Leo Ostigard,NOR,DF,1,0,184
122,Omar Rekik,TUN,DF,1,0,200
123,Wilson Isidor,HAI,FW,1,0,201
124,Ibrahim Mbaye,SEN,FW,1,0,203
125,Michal Sadilek,CZE,MF,1,0,204
126,Nikola Vlasic,CRO,MF,1,0,204
127,Derrick Luckassen,GHA,DF,1,0,205
128,Mauricio,PAR,MF,1,0,208
129,Nilson Angulo,ECU,FW,1,0,240
130,Abbosbek Fayzullaev,UZB,MF,1,0,240
131,Junya Ito,JPN,MF,1,0,242
132,Livano Comenencia,CUW,MF,1,0,253
133,Thapelo Maseko,RSA,FW,1,0,255
134,Agustin Canobbio,URU,MF,1,0,261
135,Abdulelah Alamri,KSA,DF,1,0,268
136,Amine Gouiri,ALG,FW,1,0,270
137,Daizen Maeda,JPN,MF,1,0,271
138,Mohammad Mohebbi,IRN,MF,1,0,271
139,Marcus Holmgren Pedersen,NOR,DF,1,0,273
140,John Mcginn,SCO,MF,1,0,277
141,Romano Schmid,AUT,MF,1,0,283
142,Nestory Irankunda,AUS,FW,1,0,285
143,Nizar Alrashdan,JOR,MF,1,0,289
144,Ali Olwan,JOR,FW,1,0,297
145,Deroy Duarte,CPV,MF,1,0,300
146,Ladislav Krejci,CZE,DF,1,0,301
147,Teboho Mokoena,RSA,MF,1,0,301
148,Eldor Shomurodov,UZB,FW,1,0,304
149,Jamal Musiala,GER,MF,1,0,305
150,Finn Surman,NZL,DF,1,0,306
